Location,Max Traffic (mbps) (99%),Choke Point,Choke Point Limit (mbps),Circuit Max Limit (mbps),Choke Point Utilization,Circuit Utilization,Action
Mirabella,160,Radio,2000,2000,0.08,0.08
Mill House Apartments,196,Circuit,1000,1000,0.196,0.196
Melrose Apartments,359,Circuit,1000,1000,0.359,0.359
Mountain States Property Management,26,Circuit,400,400,0.065,0.065
National Abilities Center,28,Circuit,150,150,0.18666666666666668,0.18666666666666668
Nottingham Apartments,63,Circuit,2000,2000,0.0315,0.0315
Tides on 25th,744,CMTS,1216,2000,0.6118421052631579,0.372
Nineteen01,67,CMTS,1216,10000,0.055098684210526314,0.0067
Novo Apartments,205,Circuit,1000,1000,0.205,0.205
Newport Village Apartments,327,Circuit,3000,3000,0.109,0.109
Neville Properties,192,Circuit,500,500,0.384,0.384
Oaknoll Condominiums,398,UBR,608,1000,0.6546052631578947,0.398
Ocean Club POP,1006,Circuit,10000,10000,0.1006,0.1006
Ocean Club Site,73,CMTS,2432,10000,0.030016447368421052,0.0073
Off Campus Residences,179,Circuit,1000,1000,0.179,0.179
OFA Centurylink NNI,2128,Circuit,10000,10000,0.2128,0.2128
